name,termin,url
Веб-дизайн,12 месяцев,https://gb.ru/geek_university/web-design
3D-моделирование,12 месяцев,https://gb.ru/geek_university/modeling-3d
Редактура и копирайтинг,12 месяцев,https://gb.ru/geek_university/copywriter
Основы работы с маркетплейсами и e-commerce,9 месяцев,https://gb.ru/geek_university/e-commerce
Инженер умных устройств,20 месяцев,https://gb.ru/geek_university/internet-of-things
Разработка игр на Unreal Engine,15 месяцев,https://gb.ru/geek_university/unrealengine4
Сетевой инженер,11 месяцев,https://gb.ru/geek_university/network-engineer
Таргетированная реклама,12 месяцев,https://gb.ru/geek_university/targeting
Разработка VR/AR,12 месяцев,https://gb.ru/geek_university/vr-ar
1С-разработка,8 месяцев,https://gb.ru/geek_university/1c-developer
Системный администратор,7 месяцев,https://gb.ru/professions/sys_admin
Программист Python,6 месяцев,https://gb.ru/professions/python_developer
Digital-маркетолог,6 месяцев,https://gb.ru/professions/digital-marketing
Программист Java,7 месяцев,https://gb.ru/professions/java_developer
Разработчик игр на Unity,11 месяцев,https://gb.ru/professions/game_developer
